Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Heavy,2,Alexandre Henrique Moreno Moreira,Team Link
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Super-Heavy,2,Daniel Simmler,Renzo Gracie Academy
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Ultra-Heavy,2,Tiago Pereira Almeida,Academia DF
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Open Class,2,Lucas Alves Lepri,Alliance
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Light-Feather,3,Joseph A Capizzi,Renzo Gracie
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Feather,3,Jin Yung,Renzo Gracie
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Feather,3,Sidemar Honorio,Renzo Gracie Academy
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Light,3,Jason Jerome Rivera Palacios,Team Royce Gracie
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Light,3,Oliver Leys Geddes,Gracie Elite Team
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Middle,3,Alex J. Aristides,Serra BJJ Academy
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Middle,3,Bruno Franco Fernandes,Gracie Barra
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Medium-Heavy,3,Frederico G. Moncaio,The Avengers
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Medium-Heavy,3,Pablo Popovitch,The Avengers
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Heavy,3,Leonardo I. Iturralde Aguirre,Alliance
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Heavy,3,Ricardo de Souza de Rezende,The Avengers
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Open Class,3,Diego Pereira de Santana,Academia DF
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Open Class,3,Kleber de Oliveira Paulino,Gracie Barra
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Female,Feather,1,Sofia Rosa Amarante,The Avengers
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Female,Medium-Heavy,1,Thaysa H. Ramos da Silva,The Avengers
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Female,Open Class,1,Valerie Lynn Worthington,Alliance
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Female,Feather,2,Jennifer A Petrina,Alliance
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Female,Medium-Heavy,2,Valerie Lynn Worthington,Alliance
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Female,Feather,3,Bibiana Dios Tan Pacini S. Silva,GF Team
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2013,Adult,Black,Male,Light-Feather,1,Laercio Fernandes,Alliance
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2013,Adult,Black,Male,Feather,1,Samir José Chantre Dahás,Caio Terra Association
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2013,Adult,Black,Male,Light,1,AJ Agazarm,Gracie Barra
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2013,Adult,Black,Male,Middle,1,Francisco Antonio Iturralde Lara,Alliance
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2013,Adult,Black,Male,Medium-Heavy,1,Murilo Silva Ferreira de Santana,Barbosa JJ e MMA
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2013,Adult,Black,Male,Heavy,1,Luiz Fernando de Azevedo Panza,BARBOSA JIU-JITSU USA
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2013,Adult,Black,Male,Super-Heavy,1,Ronald W Wuest Jr.,Balance
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2013,Adult,Black,Male,Ultra-Heavy,1,Thomas D. DeBlass,TDBJJ
